"treino_mean_squared_error,treino_accuracy,mean_squared_error,accuracy"
"0.3645099997520447,0.800000011920929,0.38075801730155945,0.8197183012962341"
"0.36367467045783997,0.800000011920929,0.3798803687095642,0.8197183012962341"
"0.36280012130737305,0.800000011920929,0.3789654076099396,0.8197183012962341"
"0.36188697814941406,0.800000011920929,0.3780112564563751,0.8197183012962341"
"0.3609481751918793,0.800000011920929,0.37702661752700806,0.8197183012962341"
"0.35997384786605835,0.800000011920929,0.3760073482990265,0.8197183012962341"
"0.3589649796485901,0.800000011920929,0.37495332956314087,0.8197183012962341"
"0.3579425811767578,0.800000011920929,0.37388452887535095,0.8197183012962341"
"0.35690057277679443,0.800000011920929,0.37279367446899414,0.8197183012962341"
"0.3558340072631836,0.800000011920929,0.37167903780937195,0.8197183012962341"
"0.35474714636802673,0.800000011920929,0.37054070830345154,0.8197183012962341"
"0.3536367416381836,0.800000011920929,0.3693809509277344,0.8197183012962341"
"0.3525043725967407,0.800000011920929,0.36819684505462646,0.8197183012962341"
"0.3513525426387787,0.800000011920929,0.366990864276886,0.8197183012962341"
"0.35017064213752747,0.800000011920929,0.3657552897930145,0.8197183012962341"
"0.3489956557750702,0.800000011920929,0.3645268976688385,0.8197183012962341"
"0.3477898836135864,0.800000011920929,0.3632654845714569,0.8197183012962341"
"0.34656134247779846,0.800000011920929,0.36197930574417114,0.8197183012962341"
"0.34530195593833923,0.800000011920929,0.36066508293151855,0.8197183012962341"
"0.3440302312374115,0.800000011920929,0.3593331277370453,0.8197183012962341"
"0.34275341033935547,0.800000011920929,0.3579955995082855,0.8197183012962341"
"0.3414733111858368,0.800000011920929,0.3566562831401825,0.8197183012962341"
"0.3401797413825989,0.800000011920929,0.3553008735179901,0.8197183012962341"
"0.33887195587158203,0.800000011920929,0.35393139719963074,0.8197183012962341"
"0.33756425976753235,0.800000011920929,0.3525644838809967,0.8197183012962341"
"0.33623504638671875,0.800000011920929,0.35117119550704956,0.8197183012962341"
"0.3349108397960663,0.800000011920929,0.34978562593460083,0.8197183012962341"
"0.3335631489753723,0.800000011920929,0.34837475419044495,0.8197183012962341"
"0.33222725987434387,0.800000011920929,0.34697863459587097,0.8197183012962341"
"0.3308480381965637,0.800000011920929,0.3455328047275543,0.8197183012962341"
"0.32947680354118347,0.800000011920929,0.3441021144390106,0.8197183012962341"
"0.3280898928642273,0.800000011920929,0.342647910118103,0.8197183012962341"
"0.3267110586166382,0.800000011920929,0.34120383858680725,0.8197183012962341"
"0.32530727982521057,0.800000011920929,0.33973318338394165,0.8197183012962341"
"0.3239101469516754,0.800000011920929,0.33826667070388794,0.8197183012962341"
"0.3224986493587494,0.800000011920929,0.3367861211299896,0.8197183012962341"
"0.3211291432380676,0.800000011920929,0.3353552222251892,0.8197183012962341"
"0.31969520449638367,0.800000011920929,0.33385327458381653,0.8197183012962341"
"0.3182850480079651,0.800000011920929,0.3323764503002167,0.8197183012962341"
"0.3168632686138153,0.800000011920929,0.3308861553668976,0.8197183012962341"
"0.31544363498687744,0.800000011920929,0.3293990194797516,0.8197183012962341"
"0.3139975965023041,0.800000011920929,0.3278813362121582,0.8197183012962341"
"0.3125315010547638,0.800000011920929,0.32634493708610535,0.8197183012962341"
"0.31110334396362305,0.800000011920929,0.3248457908630371,0.8197183012962341"
"0.30966123938560486,0.800000011920929,0.3233315050601959,0.8197183012962341"
"0.30825188755989075,0.800000011920929,0.3218534588813782,0.8197183012962341"
"0.30680614709854126,0.800000011920929,0.3203379809856415,0.8197183012962341"
"0.3053503930568695,0.800000011920929,0.3188112676143646,0.8197183012962341"
"0.3039081394672394,0.800000011920929,0.3172982931137085,0.8197183012962341"
"0.30246037244796753,0.800000011920929,0.31577783823013306,0.8197183012962341"
"0.30099326372146606,0.800000011920929,0.3142358362674713,0.8197183012962341"
"0.2995474636554718,0.800000011920929,0.31272178888320923,0.8197183012962341"
"0.2981001138687134,0.800000011920929,0.31120118498802185,0.8197183012962341"
"0.29664984345436096,0.800000011920929,0.3096783459186554,0.8197183012962341"
